id,course,section,faculty,capacity,timing,room_no
1,CSE101,1,MAR,0/30,W 10:10 AM - 11:40 AM,429
2,CSE101,1,MAR,0/30,M 10:10 AM - 11:40 AM,530 (C. Lab-2)
3,CSE101,2,AT,0/30,S 08:30 AM - 10:00 AM,212
4,CSE101,2,AT,0/30,T 08:30 AM - 10:00 AM,372 (SEIP Lab)
5,CSE101,3,AT,0/30,T 10:10 AM - 11:40 AM,372 (SEIP Lab)
6,CSE101,3,AT,0/30,S 10:10 AM - 11:40 AM,223
7,CSE101,4,MSHQ,0/30,T 08:30 AM - 10:00 AM,AB2-201
8,CSE101,4,MSHQ,0/30,R 08:30 AM - 10:00 AM,372 (SEIP Lab)
9,CSE101,5,DMZM,0/30,T 03:10 PM - 04:40 PM,531
10,CSE101,5,DMZM,0/30,S 03:10 PM - 04:40 PM,241
11,CSE101,6,DMZM,0/30,T 04:50 PM - 06:20 PM,533 (C. Lab-3)
12,CSE101,6,DMZM,0/30,S 04:50 PM - 06:20 PM,372
13,CSE101,7,AQUIB,0/30,S 03:10 PM - 04:40 PM,217
14,CSE101,7,AQUIB,0/30,T 03:10 PM - 04:40 PM,372 (SEIP Lab)
15,CSE101,8,AQUIB,0/30,T 04:50 PM - 06:20 PM,372 (SEIP Lab)
16,CSE101,8,AQUIB,0/30,S 04:50 PM - 06:20 PM,221
17,CSE101,9,TZE,0/30,S 03:10 PM - 04:40 PM,AB2-301
18,CSE101,9,TZE,0/30,T 03:10 PM - 04:40 PM,435 (Virtual Reality and Augmented Reality Lab)
19,CSE101,10,TZE,0/30,T 04:50 PM - 06:20 PM,534 (C. Lab-4)
20,CSE101,10,TZE,0/30,S 04:50 PM - 06:20 PM,435
21,CSE103,1,FHT,0/35,S 08:30 AM - 10:00 AM,321
22,CSE103,1,FHT,0/35,T 08:30 AM - 10:00 AM,530 (C. Lab-2)
23,CSE103,2,SRH,0/35,M 10:10 AM - 11:40 AM,325
24,CSE103,2,SRH,0/35,W 10:10 AM - 11:40 AM,372 (SEIP Lab)
25,CSE104,1,FAR,0/30,M 03:10 PM - 04:40 PM,AB1-Lab1
26,CSE104,1,FAR,0/30,W 03:10 PM - 04:40 PM,429
27,CSE104,2,MSHQ,0/30,S 01:30 PM - 03:00 PM,AB1-Lab1
28,CSE104,2,MSHQ,0/30,T 01:30 PM - 03:00 PM,321
29,CSE207,1,DMZM,0/35,S 10:10 AM - 11:40 AM,431
30,CSE207,1,DMZM,0/35,T 10:10 AM - 11:40 AM,534 (C. Lab-4)
31,CSE207,2,TZE,0/35,M 08:30 AM - 10:00 AM,217
32,CSE207,2,TZE,0/35,W 08:30 AM - 10:00 AM,533 (C. Lab-3)
33,CSE302,1,AH,0/35,S 08:30 AM - 10:00 AM,AB1-502
34,CSE302,1,AH,0/35,T 08:30 AM - 10:00 AM,AB1-502
35,CSE302,2,FAR,0/35,M 10:10 AM - 11:40 AM,AB1-503
36,CSE302,2,FAR,0/35,W 10:10 AM - 11:40 AM,AB1-503
37,CSE303,1,AH,0/30,S 10:10 AM - 11:40 AM,AB1-Lab3
38,CSE303,1,AH,0/30,T 10:10 AM - 11:40 AM,AB1-Lab3
39,CSE401,1,AH,0/35,S 01:30 PM - 03:00 PM,AB1-601
40,CSE401,1,AH,0/35,T 01:30 PM - 03:00 PM,AB1-601
41,CSE401,2,FHT,0/35,M 01:30 PM - 03:00 PM,AB1-602
42,CSE401,2,FHT,0/35,W 01:30 PM - 03:00 PM,AB1-602
43,MAT101,1,FAR,0/40,S 08:30 AM - 10:00 AM,AB2-201
44,MAT101,1,FAR,0/40,T 08:30 AM - 10:00 AM,AB2-201
45,MAT101,2,MAR,0/40,M 11:50 AM - 01:20 PM,AB2-202
46,MAT101,2,MAR,0/40,W 11:50 AM - 01:20 PM,AB2-202
47,PHY109,1,SRH,0/35,S 11:50 AM - 01:20 PM,AB2-301
48,PHY109,1,SRH,0/35,T 11:50 AM - 01:20 PM,AB2-Lab1
49,ENG101,1,MSHQ,0/40,M 08:30 AM - 10:00 AM,AB3-101
50,ENG101,1,MSHQ,0/40,W 08:30 AM - 10:00 AM,AB3-101
