Section_Id,Section_No,Time_Slot,Room_No,Capacity,Course_ID,Faculty_ID
1,1,Sun-Tue 08:30 AM - 10:00 AM,AB1-502,35,CSE302,1652688915
2,2,Mon-Wed 10:10 AM - 11:40 AM,AB1-503,35,CSE302,1652688916
3,1,Sun-Tue 10:10 AM - 11:40 AM,AB1-Lab3,30,CSE303,1652688915
4,1,Mon-Wed 01:30 PM - 03:00 PM,AB1-401,40,CSE103,1652688916
5,1,Sun-Tue 11:50 AM - 01:20 PM,AB2-302,35,EEE101,1652688917
6,1,Mon-Wed 08:30 AM - 10:00 AM,AB3-201,45,BBA101,1652688918
7,1,Sun-Tue 01:30 PM - 03:00 PM,AB1-601,35,CSE401,1652688915
8,1,Mon-Wed 03:10 PM - 04:40 PM,AB1-Lab1,30,CSE104,1652688916
9,1,Sun-Tue 08:30 AM - 10:00 AM,AB2-201,40,MAT101,1652688916
10,2,Sun-Tue 11:50 AM - 01:20 PM,AB1-605,40,CSE381,1652688915
